slot_count,median_ms,median_throughput_mbps,average_system_cpu_ms,average_voluntary_ctx_switches,selected
1,53.309714,1875.830735,37.175600,3145.40,0
2,28.793047,3473.060701,18.423400,1592.80,0
4,7.592477,13170.932227,1.881000,210.60,0
8,6.517289,15343.803229,3.073800,163.60,0
16,3.849173,25979.606528,0.136400,16.20,1
32,3.984369,25098.077010,0.080800,5.60,0
