trial,elapsed_ms,throughput_mbps,user_ms,sys_ms,vol_cs,invol_cs
0,230.739663,2142.908934,17.202000,164.943000,15853,0
1,233.327694,2120.885430,17.600000,164.433000,15859,1
2,235.750594,2166.944311,5.014000,175.150000,15821,0
