method,payload_mb,chunk_kb,trials,min_ms,max_ms,mean_ms,median_ms,mean_throughput_mbps,median_throughput_mbps,mean_user_cpu_ms,mean_system_cpu_ms,mean_voluntary_ctx_switches,mean_involuntary_ctx_switches,is_best_for_method
PIPE,10,1,3,5.270604,6.558555,6.006730,6.191030,1679.093987,1615.240111,0.000000,10.213000,23.67,0.00,0
FIFO,10,1,3,5.128406,5.328124,5.256686,5.313529,1902.915076,1881.988411,0.903667,8.912333,10.00,0.00,0
SOCKET,10,1,3,6.028029,7.440162,6.608031,6.355903,1525.438118,1573.340562,2.274000,8.980000,15.33,0.33,0
SHM,10,1,3,250.132703,268.898560,260.159229,261.446423,38.472093,38.248754,5.101333,199.175667,16447.33,0.00,0
PIPE,10,4,3,2.471590,3.901623,3.149819,3.076244,3286.577294,3250.717437,0.703667,4.723000,20.33,0.33,0
FIFO,10,4,3,2.239411,3.330045,2.850098,2.980838,3607.727877,3354.761311,2.322000,2.733000,13.67,0.33,1
SOCKET,10,4,3,2.679595,4.663819,3.685107,3.711908,2856.701689,2694.032289,1.466667,4.655333,53.00,0.00,0
SHM,10,4,3,57.060841,72.776065,63.105651,59.480047,160.260985,168.123606,2.435667,48.072667,3895.67,0.67,0
PIPE,10,16,3,1.946070,2.804734,2.297172,2.140712,4458.434929,4671.342975,0.000000,4.708000,8.67,0.00,1
FIFO,10,16,3,3.014790,4.051396,3.473278,3.353648,2922.364390,2981.827557,1.781000,4.293000,17.00,0.00,0
SOCKET,10,16,3,1.118370,1.589426,1.407470,1.514613,7278.503581,6602.346595,0.576000,2.465333,12.00,0.00,0
SHM,10,16,3,16.702514,19.175733,17.795125,17.507128,563.800211,571.195915,1.168667,13.319333,1074.67,0.00,0
PIPE,10,64,3,2.835878,6.933307,4.504942,3.745641,2546.109319,2669.770002,0.802333,5.121000,98.00,0.00,0
FIFO,10,64,3,3.543581,6.971726,5.489261,5.952475,1978.780854,1679.973453,0.000000,6.984667,114.00,0.00,0
SOCKET,10,64,3,0.988736,2.385782,1.586393,1.384660,7175.803567,7221.989562,0.726000,1.795333,19.00,0.00,0
SHM,10,64,3,4.677389,5.210505,5.004611,5.125939,2002.668918,1950.862077,3.086333,1.110000,307.00,0.00,0
PIPE,10,256,3,7.079980,7.852288,7.481891,7.513405,1338.967336,1330.954475,1.388333,5.423000,301.67,0.00,0
FIFO,10,256,3,7.449787,8.301476,7.844479,7.782174,1277.304430,1284.987973,0.077333,7.582000,289.00,0.00,0
SOCKET,10,256,3,0.970630,1.545593,1.167863,0.987366,8966.850752,10127.956544,0.725667,1.573333,17.67,0.00,1
SHM,10,256,3,1.676570,2.525060,1.974837,1.722881,5243.030641,5804.231387,0.603333,1.361333,75.67,0.00,0
PIPE,10,1024,3,8.653177,11.305463,9.734304,9.244273,1040.641290,1081.750830,1.602667,8.642667,294.00,0.33,0
FIFO,10,1024,3,7.704377,8.318627,7.982618,7.924851,1253.979439,1261.853377,2.804000,5.810667,305.00,0.00,0
SOCKET,10,1024,3,1.033600,3.390422,1.887639,1.238895,6898.705668,8071.709070,0.519333,3.877667,27.67,0.00,0
SHM,10,1024,3,1.078260,1.830079,1.408941,1.318483,7440.973365,7584.474004,0.178333,1.387333,19.33,0.00,1
