trial,elapsed_ms,throughput_mbps,user_ms,sys_ms,vol_cs,invol_cs
0,0.887138,10396.847621,0.278000,1.020000,48,0
1,0.892797,11200.754380,0.447000,0.870000,47,0
2,0.961830,11272.203497,0.343000,0.936000,44,0
