method,payload_mb,chunk_kb,trials,min_ms,max_ms,mean_ms,median_ms,mean_throughput_mbps,median_throughput_mbps,mean_user_cpu_ms,mean_system_cpu_ms,mean_voluntary_ctx_switches,mean_involuntary_ctx_switches,is_best_for_method
PIPE,100,1,5,46.225326,53.256135,49.365282,48.137622,2031.308023,2077.377233,7.535200,82.740400,156.60,0.20,0
FIFO,100,1,5,46.878781,49.920743,48.698682,48.483424,2054.549629,2062.560598,7.097400,87.398400,55.80,0.00,0
SOCKET,100,1,5,55.550510,66.816868,60.525550,56.912787,1663.877576,1757.074381,14.053200,101.087200,86.00,0.20,0
SHM,100,1,5,1873.614459,2315.279447,2104.096113,2098.956544,47.883242,47.642721,69.561400,1585.085000,145792.80,0.40,0
PIPE,100,4,5,22.062475,26.827502,23.561688,22.753144,4264.317618,4394.997017,2.514000,41.479000,71.40,0.20,0
FIFO,100,4,5,21.643592,22.909582,22.360055,22.581489,4474.577486,4428.405939,3.199000,39.134000,46.80,0.00,0
SOCKET,100,4,5,25.634207,31.209138,29.059110,30.020419,3457.806177,3331.066099,3.313400,46.320600,273.80,0.00,0
SHM,100,4,5,497.152268,685.135684,613.802547,680.431702,166.355456,146.965522,17.126200,456.748200,43644.80,0.40,0
PIPE,100,16,5,18.194987,26.846187,21.084938,19.136045,4849.022588,5225.740220,0.788800,37.278600,92.60,0.20,1
FIFO,100,16,5,18.521941,22.609345,20.664035,20.025261,4867.667499,4993.692716,2.439600,35.305000,77.40,0.40,1
SOCKET,100,16,5,8.880955,9.836319,9.204833,8.985640,10881.165947,11128.867837,0.000000,17.039600,23.40,0.00,0
SHM,100,16,5,169.603699,177.632954,172.639641,172.321716,579.380072,580.309913,6.674800,128.207200,12582.00,0.20,0
PIPE,100,64,5,32.828309,57.211510,44.930765,43.177491,2306.686957,2316.021558,0.904200,45.486600,1947.00,0.00,0
FIFO,100,64,5,31.489940,42.686787,36.733497,35.457886,2762.478576,2820.247095,0.000000,42.992000,1419.00,0.00,0
SOCKET,100,64,5,8.273041,9.778992,8.882809,8.601548,11312.190551,11625.814334,0.744200,15.402000,86.40,0.20,0
SHM,100,64,5,43.631932,46.820559,44.775465,44.484558,2234.659924,2247.971082,3.536600,31.565000,3123.60,0.00,0
PIPE,100,256,5,55.475535,63.445294,60.056234,59.893027,1668.935217,1669.643446,0.003800,50.346000,3146.80,0.00,0
FIFO,100,256,5,58.316526,63.106209,60.734547,60.894361,1647.781456,1642.188182,0.016800,51.228400,3178.40,0.00,0
SOCKET,100,256,5,7.622106,8.414310,7.976976,7.904345,12556.796867,12651.269653,1.447200,13.400200,96.20,0.20,1
SHM,100,256,5,13.172640,14.363982,13.466141,13.217607,7434.172757,7565.666010,9.877200,1.100800,796.40,0.00,0
PIPE,100,1024,5,60.626865,68.681390,62.581403,61.157468,1601.539650,1635.123285,0.040800,54.116800,3156.60,0.00,0
FIFO,100,1024,5,60.488277,72.661509,64.581501,61.911201,1555.728538,1615.216607,2.202600,53.943200,3172.00,0.00,0
SOCKET,100,1024,5,7.436630,10.442924,8.667769,8.539715,11676.937579,11709.992664,1.582200,14.983200,80.00,0.00,0
SHM,100,1024,5,7.316103,7.975224,7.648727,7.636465,13088.884258,13095.064277,5.722200,1.434800,199.40,0.00,1
