method,baseline_chunk_kb,best_chunk_kb,baseline_median_ms,best_median_ms,latency_improvement_percent,baseline_median_throughput_mbps,best_median_throughput_mbps,throughput_improvement_percent
PIPE,64,16,210.740217,103.552176,50.862641,2372.589376,4828.483759,103.511143
FIFO,64,16,219.666699,97.746444,55.502384,2276.175689,5115.275600,124.731141
SOCKET,64,256,43.391003,40.983447,5.548514,11523.126116,12200.047497,5.874460
SHM,64,1024,227.724752,35.777339,84.289218,2195.633086,13975.326674,536.505560
