trial,elapsed_ms,throughput_mbps,user_ms,sys_ms,vol_cs,invol_cs
0,0.491399,2035.006155,0.200000,0.371000,29,0
1,0.498593,1716.702814,0.257000,0.408000,30,0
2,0.582512,2005.643872,0.203000,0.316000,32,0
