variant,payload_mb,chunk_kb,median_ms,median_throughput_mbps,mean_user_cpu_ms,mean_system_cpu_ms,mean_voluntary_ctx_switches,mean_involuntary_ctx_switches
baseline,10,64,6.122357,1639.970844,0.912000,4.539333,270.33,0.00
ringbuffer,10,64,0.892797,10956.601833,0.356000,0.942000,46.33,0.00
