variant,payload_mb,chunk_kb,median_ms,median_throughput_mbps,mean_user_cpu_ms,mean_system_cpu_ms,mean_voluntary_ctx_switches,mean_involuntary_ctx_switches
baseline,500,64,233.327694,2143.579558,13.272000,168.175333,15844.33,0.00
ringbuffer,500,64,31.428255,16019.300925,15.230667,20.722333,2069.33,0.00
