variant,payload_mb,chunk_kb,median_ms,median_throughput_mbps,mean_user_cpu_ms,mean_system_cpu_ms,mean_voluntary_ctx_switches,mean_involuntary_ctx_switches
baseline,1,64,0.498593,1919.117614,0.220000,0.365000,30.33,0.00
ringbuffer,1,64,0.312986,3221.232076,0.081000,0.401333,9.67,0.00
