method,payload_mb,chunk_kb,trials,min_ms,max_ms,mean_ms,median_ms,mean_throughput_mbps,median_throughput_mbps,mean_user_cpu_ms,mean_system_cpu_ms,mean_voluntary_ctx_switches,mean_involuntary_ctx_switches,is_best_for_method
PIPE,500,1,3,250.686137,262.761466,258.698075,262.646622,1933.697012,1903.698575,51.882667,440.419333,464.33,1.00,0
FIFO,500,1,3,259.043850,271.603612,265.787201,266.714140,1881.919828,1874.666263,54.463333,447.321333,466.33,1.00,0
SOCKET,500,1,3,287.884415,323.938510,302.735545,296.383710,1655.771088,1687.002298,52.933667,517.064000,499.67,0.33,0
SHM,500,1,3,11990.140401,13607.285297,12562.870055,12091.184468,39.932798,41.352442,302.214333,9500.750667,819276.33,5.33,0
PIPE,500,4,3,120.187022,125.575197,123.022196,123.304370,4065.622427,4055.006323,14.963667,219.742000,272.67,0.67,0
FIFO,500,4,3,116.256699,123.215089,119.447388,118.870376,4188.344816,4206.262459,23.950000,206.430333,212.67,0.00,0
SOCKET,500,4,3,132.588118,146.425204,138.832245,137.483413,3607.530671,3636.802354,13.016667,231.356000,562.00,0.33,0
SHM,500,4,3,3025.121772,3370.959015,3216.560549,3253.600861,155.761411,153.675888,67.501333,2436.095667,224951.00,1.33,0
PIPE,500,16,3,91.070132,109.817402,101.479903,103.552176,4957.256822,4828.483759,2.559333,184.150333,336.67,0.33,1
FIFO,500,16,3,91.131651,210.971548,133.283214,97.746444,4323.943807,5115.275600,5.792333,216.316667,523.33,0.33,1
SOCKET,500,16,3,47.432964,59.838524,51.698581,47.824256,9783.986397,10454.945711,2.761667,93.899000,235.67,0.00,0
SHM,500,16,3,871.838084,1058.972542,942.140447,895.610714,534.645010,558.278270,35.895333,707.124000,61820.67,0.33,0
PIPE,500,64,3,209.112689,231.190070,217.014325,210.740217,2308.789102,2372.589376,1.616333,240.345000,8178.00,0.00,0
FIFO,500,64,3,197.556028,220.327779,212.516835,219.666699,2358.816478,2276.175689,2.787667,222.752000,8938.00,0.67,0
SOCKET,500,64,3,42.141707,46.668393,44.067034,43.391003,11367.248693,11523.126116,1.228000,78.446000,304.00,0.00,0
SHM,500,64,3,226.323690,235.394620,229.814354,227.724752,2176.317005,2195.633086,19.614000,161.252000,15847.33,0.00,0
PIPE,500,256,3,306.506828,331.384904,315.735383,309.314418,1585.527557,1616.478156,2.698000,264.910333,15879.33,0.00,0
FIFO,500,256,3,309.207325,326.266993,317.538910,317.142413,1575.368010,1576.578784,2.638667,262.650667,15894.00,0.00,0
SOCKET,500,256,3,39.952790,41.195084,40.710440,40.983447,12284.062874,12200.047497,0.000000,72.807000,635.33,0.00,1
SHM,500,256,3,65.413741,69.881128,67.953099,68.564429,7363.690860,7292.411055,13.739333,40.944333,3964.33,0.00,0
PIPE,500,1024,3,315.192176,317.420430,316.131957,315.783265,1581.632058,1583.364464,4.126667,262.165667,15899.67,0.00,0
FIFO,500,1024,3,319.271377,325.105230,322.320399,322.584591,1551.336820,1549.981040,2.901000,269.470000,15914.00,0.00,0
SOCKET,500,1024,3,41.346003,42.469123,42.050697,42.336964,11892.112498,11810.010752,0.000000,76.729667,353.00,0.00,0
SHM,500,1024,3,35.769085,36.012549,35.852991,35.777339,13945.975801,13975.326674,21.245667,11.552667,991.33,0.00,1
