trial,elapsed_ms,throughput_mbps,user_ms,sys_ms,vol_cs,invol_cs
0,30.761983,15894.823067,21.111000,13.790000,2098,0
1,31.428255,16253.828626,16.313000,22.615000,2074,0
2,31.456783,15909.251083,8.268000,25.762000,2036,0
