variant,payload_mb,chunk_kb,median_ms,median_throughput_mbps,mean_user_cpu_ms,mean_system_cpu_ms,mean_voluntary_ctx_switches,mean_involuntary_ctx_switches
baseline,100,64,45.752234,2174.005135,0.697000,35.934000,3169.80,0.00
ringbuffer,100,64,5.635034,17908.031996,4.586200,1.770000,358.60,0.00
