trial,elapsed_ms,throughput_mbps,user_ms,sys_ms,vol_cs,invol_cs
0,5.541821,1633.357869,0.186000,5.511000,269,0
1,6.122357,1482.093639,2.356000,3.532000,264,0
2,6.747212,1804.461024,0.194000,4.575000,278,0
